Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
98.000	2.0000	0.49508	2.0199	876.70	1280.7	36.161	7.0226	11.206	802.66	0.13787	4.0650e-06	0.067431	vapor
99.000	2.0000	0.49004	2.0406	883.77	1291.9	36.275	7.0508	11.233	806.16	0.13463	4.0954e-06	0.068055	vapor
100.00	2.0000	0.48511	2.0614	890.86	1303.1	36.388	7.0792	11.260	809.63	0.13146	4.1256e-06	0.068681	vapor
101.00	2.0000	0.48027	2.0822	897.98	1314.4	36.501	7.1078	11.287	813.07	0.12838	4.1557e-06	0.069309	vapor
102.00	2.0000	0.47553	2.1029	905.13	1325.7	36.612	7.1365	11.315	816.49	0.12537	4.1858e-06	0.069938	vapor
103.00	2.0000	0.47088	2.1237	912.31	1337.0	36.722	7.1655	11.342	819.88	0.12242	4.2157e-06	0.070569	vapor
104.00	2.0000	0.46633	2.1444	919.52	1348.4	36.832	7.1945	11.370	823.24	0.11955	4.2454e-06	0.071201	vapor
105.00	2.0000	0.46186	2.1652	926.75	1359.8	36.941	7.2236	11.398	826.59	0.11675	4.2751e-06	0.071835	vapor
106.00	2.0000	0.45747	2.1859	934.01	1371.2	37.049	7.2529	11.427	829.91	0.11401	4.3047e-06	0.072470	vapor
107.00	2.0000	0.45317	2.2067	941.31	1382.6	37.157	7.2822	11.455	833.21	0.11133	4.3342e-06	0.073107	vapor
108.00	2.0000	0.44895	2.2274	948.63	1394.1	37.263	7.3116	11.483	836.49	0.10872	4.3635e-06	0.073746	vapor
109.00	2.0000	0.44481	2.2481	955.98	1405.6	37.369	7.3411	11.512	839.75	0.10616	4.3928e-06	0.074386	vapor
110.00	2.0000	0.44075	2.2689	963.36	1417.1	37.475	7.3706	11.540	842.99	0.10366	4.4219e-06	0.075027	vapor
111.00	2.0000	0.43676	2.2896	970.76	1428.7	37.579	7.4001	11.569	846.20	0.10122	4.4510e-06	0.075670	vapor
112.00	2.0000	0.43284	2.3103	978.20	1440.3	37.683	7.4296	11.597	849.40	0.098840	4.4799e-06	0.076314	vapor
113.00	2.0000	0.42899	2.3311	985.67	1451.9	37.786	7.4591	11.626	852.59	0.096508	4.5088e-06	0.076959	vapor
114.00	2.0000	0.42521	2.3518	993.16	1463.5	37.889	7.4886	11.655	855.75	0.094229	4.5376e-06	0.077606	vapor
115.00	2.0000	0.42149	2.3725	1000.7	1475.2	37.991	7.5181	11.683	858.90	0.092000	4.5662e-06	0.078254	vapor
116.00	2.0000	0.41784	2.3932	1008.2	1486.9	38.092	7.5476	11.712	862.03	0.089820	4.5948e-06	0.078904	vapor
117.00	2.0000	0.41426	2.4140	1015.8	1498.6	38.193	7.5769	11.741	865.14	0.087688	4.6233e-06	0.079554	vapor
118.00	2.0000	0.41073	2.4347	1023.4	1510.4	38.293	7.6063	11.769	868.24	0.085602	4.6517e-06	0.080206	vapor
119.00	2.0000	0.40726	2.4554	1031.1	1522.2	38.392	7.6355	11.798	871.32	0.083562	4.6800e-06	0.080859	vapor
120.00	2.0000	0.40386	2.4761	1038.7	1534.0	38.491	7.6647	11.826	874.39	0.081565	4.7082e-06	0.081513	vapor
121.00	2.0000	0.40051	2.4968	1046.4	1545.8	38.589	7.6938	11.855	877.44	0.079612	4.7363e-06	0.082168	vapor
122.00	2.0000	0.39721	2.5175	1054.2	1557.7	38.687	7.7228	11.883	880.48	0.077700	4.7644e-06	0.082823	vapor
123.00	2.0000	0.39397	2.5383	1061.9	1569.6	38.784	7.7517	11.911	883.51	0.075829	4.7923e-06	0.083480	vapor
124.00	2.0000	0.39078	2.5590	1069.7	1581.5	38.881	7.7805	11.939	886.52	0.073997	4.8202e-06	0.084138	vapor
125.00	2.0000	0.38765	2.5797	1077.5	1593.5	38.977	7.8092	11.967	889.52	0.072204	4.8480e-06	0.084796	vapor
126.00	2.0000	0.38456	2.6004	1085.4	1605.4	39.072	7.8377	11.995	892.51	0.070448	4.8757e-06	0.085455	vapor
127.00	2.0000	0.38152	2.6211	1093.2	1617.4	39.167	7.8661	12.023	895.48	0.068728	4.9033e-06	0.086115	vapor
128.00	2.0000	0.37853	2.6418	1101.1	1629.5	39.261	7.8944	12.051	898.44	0.067044	4.9308e-06	0.086775	vapor
