Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
291.5,30,2.4512,0.40796,2625.1,3849,39.05,10.179,14.363,1326,-0.0302,8.7861E-06,0.18603,supercritical
292.5,30,2.4429,0.40934,2635.3,3863.3,39.099,10.183,14.367,1328.1,-0.030381,8.8067E-06,0.18651,supercritical
293.5,30,2.4347,0.41073,2645.5,3877.7,39.148,10.187,14.37,1330.2,-0.030561,8.8272E-06,0.18699,supercritical
294.5,30,2.4265,0.41211,2655.7,3892.1,39.197,10.191,14.373,1332.3,-0.030739,8.8477E-06,0.18747,supercritical
295.5,30,2.4184,0.4135,2665.9,3906.4,39.246,10.194,14.376,1334.4,-0.030916,8.8682E-06,0.18794,supercritical
296.5,30,2.4103,0.41488,2676.2,3920.8,39.295,10.198,14.379,1336.6,-0.031091,8.8887E-06,0.18842,supercritical
297.5,30,2.4023,0.41627,2686.4,3935.2,39.343,10.201,14.382,1338.7,-0.031266,8.9092E-06,0.18889,supercritical
298.5,30,2.3944,0.41765,2696.6,3949.6,39.391,10.205,14.385,1340.8,-0.031439,8.9296E-06,0.18937,supercritical
299.5,30,2.3864,0.41903,2706.9,3964,39.439,10.208,14.388,1342.9,-0.03161,0.00000895,0.18984,supercritical
300.5,30,2.3786,0.42042,2717.1,3978.4,39.487,10.212,14.391,1345,-0.031781,8.9704E-06,0.19032,supercritical
301.5,30,2.3708,0.4218,2727.3,3992.7,39.535,10.215,14.394,1347.1,-0.03195,8.9908E-06,0.19079,supercritical
302.5,30,2.363,0.42318,2737.6,4007.1,39.583,10.218,14.397,1349.2,-0.032118,9.0112E-06,0.19126,supercritical
303.5,30,2.3553,0.42457,2747.8,4021.5,39.63,10.222,14.399,1351.3,-0.032284,9.0315E-06,0.19173,supercritical
304.5,30,2.3477,0.42595,2758.1,4035.9,39.678,10.225,14.402,1353.4,-0.032449,9.0518E-06,0.1922,supercritical
305.5,30,2.3401,0.42734,2768.3,4050.3,39.725,10.228,14.405,1355.4,-0.032614,9.0721E-06,0.19267,supercritical
306.5,30,2.3325,0.42872,2778.6,4064.7,39.772,10.231,14.407,1357.5,-0.032776,9.0924E-06,0.19314,supercritical
307.5,30,2.325,0.4301,2788.9,4079.2,39.819,10.234,14.41,1359.6,-0.032938,9.1127E-06,0.1936,supercritical
308.5,30,2.3176,0.43149,2799.1,4093.6,39.866,10.237,14.412,1361.7,-0.033099,0.000009133,0.19407,supercritical
309.5,30,2.3102,0.43287,2809.4,4108,39.912,10.24,14.415,1363.8,-0.033258,9.1532E-06,0.19454,supercritical
310.5,30,2.3028,0.43425,2819.6,4122.4,39.959,10.243,14.417,1365.8,-0.033416,9.1734E-06,0.195,supercritical
311.5,30,2.2955,0.43563,2829.9,4136.8,40.005,10.246,14.42,1367.9,-0.033574,9.1936E-06,0.19546,supercritical
312.5,30,2.2882,0.43702,2840.2,4151.2,40.051,10.249,14.422,1370,-0.03373,9.2138E-06,0.19593,supercritical
313.5,30,2.281,0.4384,2850.5,4165.7,40.098,10.251,14.424,1372,-0.033884,9.2339E-06,0.19639,supercritical
314.5,30,2.2738,0.43978,2860.7,4180.1,40.144,10.254,14.427,1374.1,-0.034038,9.2541E-06,0.19685,supercritical
315.5,30,2.2667,0.44117,2871,4194.5,40.189,10.257,14.429,1376.2,-0.034191,9.2742E-06,0.19731,supercritical
316.5,30,2.2596,0.44255,2881.3,4208.9,40.235,10.259,14.431,1378.2,-0.034342,9.2943E-06,0.19777,supercritical
317.5,30,2.2526,0.44393,2891.6,4223.4,40.28,10.262,14.433,1380.3,-0.034493,9.3144E-06,0.19823,supercritical
318.5,30,2.2456,0.44531,2901.9,4237.8,40.326,10.264,14.435,1382.3,-0.034642,9.3344E-06,0.19869,supercritical
319.5,30,2.2387,0.4467,2912.2,4252.2,40.371,10.267,14.437,1384.4,-0.034791,9.3545E-06,0.19915,supercritical
320.5,30,2.2318,0.44808,2922.5,4266.7,40.416,10.269,14.439,1386.4,-0.034938,9.3745E-06,0.1996,supercritical
321.5,30,2.2249,0.44946,2932.7,4281.1,40.461,10.272,14.441,1388.5,-0.035085,9.3945E-06,0.20006,supercritical
322.5,30,2.2181,0.45084,2943,4295.6,40.506,10.274,14.443,1390.5,-0.03523,9.4145E-06,0.20052,supercritical
323.5,30,2.2113,0.45222,2953.3,4310,40.551,10.276,14.445,1392.5,-0.035374,9.4345E-06,0.20097,supercritical
324.5,30,2.2046,0.45361,2963.6,4324.5,40.595,10.279,14.447,1394.6,-0.035518,9.4545E-06,0.20142,supercritical
325.5,30,2.1979,0.45499,2973.9,4338.9,40.64,10.281,14.449,1396.6,-0.03566,9.4744E-06,0.20188,supercritical
326.5,30,2.1912,0.45637,2984.2,4353.4,40.684,10.283,14.451,1398.7,-0.035801,9.4943E-06,0.20233,supercritical
