Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
18.195	0.050000	73.180	0.013665	-21.193	-20.510	-1.0267	5.5130	8.6689	1175.5	-1.1734	1.6288e-05	0.10268	0.0022890	0.70819	1.4120	364.39	434.99	24.008	6.3756	11.323	342.66	20.815	8.7664e-07	0.014898
18.717	0.060000	72.646	0.013765	-16.647	-15.821	-0.78007	5.5503	8.9156	1162.7	-1.1216	1.5538e-05	0.10302	0.0021981	0.83295	1.2006	366.57	438.60	23.499	6.3908	11.466	346.25	20.141	9.0513e-07	0.015483
19.178	0.070000	72.161	0.013858	-12.524	-11.554	-0.56214	5.5822	9.1425	1151.0	-1.0754	1.4920e-05	0.10328	0.0021178	0.95579	1.0463	368.40	441.64	23.068	6.4053	11.607	349.27	19.584	9.3043e-07	0.016015
19.594	0.080000	71.712	0.013945	-8.7254	-7.6098	-0.36587	5.6101	9.3547	1140.1	-1.0333	1.4395e-05	0.10347	0.0020457	1.0771	0.92839	369.97	444.24	22.694	6.4194	11.745	351.87	19.108	9.5333e-07	0.016505
19.974	0.090000	71.294	0.014026	-5.1855	-3.9231	-0.18659	5.6352	9.5556	1129.8	-0.99446	1.3940e-05	0.10360	0.0019799	1.1973	0.83523	371.32	446.49	22.363	6.4333	11.882	354.15	18.693	9.7434e-07	0.016964
20.324	0.10000	70.899	0.014105	-1.8572	-0.44679	-0.021040	5.6580	9.7476	1120.1	-0.95816	1.3540e-05	0.10370	0.0019193	1.3164	0.75962	372.50	448.47	22.066	6.4471	12.018	356.17	18.325	9.9384e-07	0.017396
20.650	0.11000	70.524	0.014179	1.2941	2.8539	0.13316	5.6791	9.9324	1110.9	-0.92394	1.3183e-05	0.10377	0.0018631	1.4348	0.69695	373.55	450.21	21.797	6.4609	12.155	357.98	17.994	1.0121e-06	0.017806
20.956	0.12000	70.167	0.014252	4.2951	6.0053	0.27782	5.6987	10.111	1102.0	-0.89144	1.2861e-05	0.10381	0.0018105	1.5526	0.64410	374.47	451.76	21.549	6.4748	12.291	359.61	17.693	1.0293e-06	0.018199
21.243	0.13000	69.824	0.014322	7.1663	9.0281	0.41431	5.7170	10.285	1093.5	-0.86039	1.2568e-05	0.10382	0.0017610	1.6698	0.59889	375.30	453.15	21.321	6.4886	12.428	361.08	17.417	1.0456e-06	0.018576
21.516	0.14000	69.494	0.014390	9.9244	11.939	0.54375	5.7343	10.455	1085.3	-0.83057	1.2300e-05	0.10382	0.0017143	1.7866	0.55974	376.03	454.39	21.108	6.5025	12.565	362.43	17.162	1.0611e-06	0.018939
21.774	0.15000	69.175	0.014456	12.583	14.751	0.66701	5.7507	10.622	1077.3	-0.80181	1.2053e-05	0.10381	0.0016700	1.9030	0.52548	376.68	455.51	20.909	6.5164	12.703	363.66	16.926	1.0760e-06	0.019290
22.021	0.16000	68.867	0.014521	15.153	17.476	0.78482	5.7663	10.786	1069.6	-0.77396	1.1824e-05	0.10378	0.0016278	2.0192	0.49524	377.27	456.51	20.722	6.5304	12.842	364.79	16.704	1.0903e-06	0.019631
22.257	0.17000	68.567	0.014584	17.643	20.122	0.89778	5.7811	10.947	1062.1	-0.74691	1.1610e-05	0.10373	0.0015875	2.1352	0.46834	377.80	457.41	20.545	6.5444	12.982	365.84	16.496	1.1041e-06	0.019963
22.483	0.18000	68.275	0.014647	20.062	22.698	1.0064	5.7953	11.107	1054.7	-0.72056	1.1410e-05	0.10368	0.0015490	2.2511	0.44423	378.27	458.23	20.378	6.5584	13.123	366.80	16.300	1.1174e-06	0.020287
22.701	0.19000	67.990	0.014708	22.416	25.211	1.1111	5.8089	11.265	1047.5	-0.69482	1.1223e-05	0.10362	0.0015120	2.3669	0.42250	378.68	458.96	20.218	6.5724	13.265	367.70	16.115	1.1303e-06	0.020604
22.910	0.20000	67.712	0.014768	24.711	27.665	1.2123	5.8220	11.421	1040.5	-0.66963	1.1046e-05	0.10355	0.0014764	2.4826	0.40280	379.06	459.62	20.066	6.5865	13.408	368.53	15.939	1.1428e-06	0.020914
23.113	0.21000	67.439	0.014828	26.953	30.066	1.3102	5.8346	11.577	1033.6	-0.64491	1.0878e-05	0.10347	0.0014421	2.5984	0.38485	379.39	460.21	19.921	6.6006	13.553	369.31	15.771	1.1550e-06	0.021218
